scalings,0,500,1000,1500
RicochetRobots/062-ricochetrobot-25-0.asp,9792570,8559516,2647776,2738182
RicochetRobots/074-ricochetrobot-18-0.asp,2476343,1157521,2302787,1995257
RicochetRobots/078-ricochetrobot-17-0.asp,2267381,1574829,2103161,1946634
RicochetRobots/084-ricochetrobot-15-0.asp,979504,359612,169450,192168
RicochetRobots/097-ricochetrobot-17-0.asp,2183094,213565,2039621,2061423
RicochetRobots/105-ricochetrobot-19-0.asp,8921883,1216453,2327923,2244745
RicochetRobots/120-ricochetrobot-22-0.asp,2690994,2864904,1151786,1226114
RicochetRobots/188-ricochetrobot-18-0.asp,2482554,2421491,2357145,2158192
RicochetRobots/214-ricochetrobot-22-0.asp,1279065,622386,1825670,2207306
RicochetRobots/230-ricochetrobot-17-0.asp,2102649,2146815,658108,1280483
Sokoban/0065-sokoban-120-1.asp,29463102,27161610,26673283,24744540
Sokoban/0096-sokoban-36-1.asp,204128,212535,305490,305490
Sokoban/0103-sokoban-110-1.asp,187962,161468,161468,161468
Sokoban/0119-sokoban-42-1.asp,599691,521464,563423,663212
Sokoban/0128-sokoban-131-1.asp,1817138,2847601,3034276,3702747
Sokoban/0140-sokoban-60-1.asp,14526592,14501053,5221707,12870297
Sokoban/0162-sokoban-31-1.asp,177925,129369,137351,137351
Sokoban/0207-sokoban-31-1.asp,355874,318628,304773,277398
Sokoban/0272-sokoban-135-1.asp,3375089,1408560,18180,330217
Sokoban/0395-sokoban-45-1.asp,4538469,10106339,4570536,4619713
Sokoban/0418-sokoban-36-1.asp,3664541,2814774,3254984,2296703
Sokoban/0428-sokoban-120-1.asp,2307354,197564,1980184,709264
Sokoban/0474-sokoban-56-1.asp,950722,170654,59441,73267
Sokoban/0516-sokoban-200-1.asp,2646253,4515097,8163980,7422266
Sokoban/0685-sokoban-105-1.asp,22134901,20755677,20120446,6646408
Sokoban/0760-sokoban-48-1.asp,4686053,2519228,2332433,2661814
Sokoban/0791-sokoban-270-1.asp,52966253,46720196,43260264,45804897
Sokoban/0809-sokoban-280-1.asp,40635687,47004845,42456530,34813405
Sokoban/0950-sokoban-87-1.asp,24495252,22534281,17286908,20865534
Sokoban/0984-sokoban-165-1.asp,32876955,35650553,33197177,31753108
Visit-all/0009-visitall-36-1.asp,334042,982671,865714,999236
Visit-all/0012-visitall-36-1.asp,436750,616225,426772,385986
Visit-all/0019-visitall-67-1.asp,3704235,3714831,3691761,3728984
Visit-all/0020-visitall-67-1.asp,3618003,3472544,3738424,3595805
Visit-all/0029-visitall-39-1.asp,390425,783693,629531,537174
Visit-all/0030-visitall-39-1.asp,411851,907514,1149535,512548
Visit-all/0031-visitall-39-1.asp,810638,654281,702795,717087
Visit-all/0037-visitall-73-1.asp,4280605,3537102,15491746,3718488
Visit-all/0040-visitall-73-1.asp,3593172,3520300,3625621,3417853
Visit-all/0057-visitall-79-1.asp,3993249,15057094,3763410,3864985
Visit-all/0059-visitall-79-1.asp,3747903,3642277,3959485,3694717
Visit-all/0060-visitall-79-1.asp,3651184,3909416,3859754,3788750
Visit-all/0070-visitall-49-1.asp,333138,1028303,609858,912393
Visit-all/0071-visitall-49-1.asp,356990,753115,675975,668383
Visit-all/0077-visitall-91-1.asp,4667914,4012405,17173022,51209639
Visit-all/0078-visitall-91-1.asp,5058679,4003658,4598060,3993431
Visit-all/0080-visitall-91-1.asp,4001991,6800073,80886492,3813481
Visit-all/0089-visitall-66-1.asp,348760,156958,263356,357870
Visit-all/0099-visitall-122-1.asp,4459624,4293480,4376592,7314546
Visit-all/0100-visitall-122-1.asp,4639480,52469880,4374481,4279331
learning-1-sort-lbd-lbd-5
HanoiTower/0004-hanoi_tower-60-0.asp,435210,756644,426686,520715
HanoiTower/0005-hanoi_tower-60-0.asp,2712871,3120320,676608,1500662
HanoiTower/0007-hanoi_tower-60-0.asp,3210247,1758540,1867048,1720049
