,empty-1/base,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-1.lp,1.54,1.424,215,11,43,0,1.28,1.169,215,11,41,0,1.26,1.136,215,11,42,0,1.55,1.434,215,11,44,0,1.27,1.153,215,11,42,0,1.27,1.155,215,11,42,0,1.26,1.136,215,11,41,0,1.275,1.162,215,11,42,0,1.55,1.434,215,11,44,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-10.lp,148.22,143.688,51069,1066,2881,0,191.64,187.252,154029,55934,2883,179,194.39,189.814,154029,55934,2886,179,191.22,186.616,154029,55934,2885,179,147.85,143.474,64205,1394,2881,114,150.79,146.224,21149,2779,2881,169,147.85,143.474,21149,1066,2881,0,171.005,166.42,109117,29356.5,2882,174,194.39,189.814,154029,55934,2886,179
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-11.lp,6.79,6.558,706,31,165,0,6.62,6.403,706,31,169,0,6.49,6.25,706,31,163,0,6.64,6.396,706,31,166,0,6.86,6.598,706,31,163,0,6.54,6.287,706,31,165,0,6.49,6.25,706,31,163,0,6.63,6.3995,706,31,165,0,6.86,6.598,706,31,169,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-12.lp,400.89,391.023,7778,173,7553,0,434.09,424.501,7778,173,7553,0,397.19,387.782,7778,173,7555,0,396.75,386.934,7778,173,7555,0,395.96,386.538,7778,173,7552,0,404.77,394.742,7778,173,7551,0,395.96,386.538,7778,173,7551,0,399.04,389.4025,7778,173,7553,0,434.09,424.501,7778,173,7555,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-13.lp,900,900,0,0,8181,0,900,900,0,0,8197,0,900,900,0,0,8028,0,900,900,0,0,8004,0,900,900,0,0,8057,0,900,900,0,0,8019,0,900,900,0,0,8004,0,900,900,0,0,8042.5,0,900,900,0,0,8197,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-14.lp,127.02,124.237,10768,257,2554,0,123.28,120.338,10768,257,2557,0,124.59,121.671,10768,257,2559,0,127.62,124.793,10768,257,2561,0,124.57,121.481,10768,257,2556,0,125.76,122.617,10768,257,2557,0,123.28,120.338,10768,257,2554,0,125.175,122.144,10768,257,2557,0,127.62,124.793,10768,257,2561,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-15.lp,9.14,8.788,7955,1264,225,0,9.16,8.793,5173,1017,224,17,8.99,8.623,5173,1017,225,17,8.92,8.535,5173,1017,225,17,9.02,8.654,5173,1017,224,17,8.9,8.538,5173,1017,225,17,8.9,8.535,5173,1017,224,0,9.005,8.6385,5173,1017,225,17,9.16,8.793,7955,1264,225,17
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-16.lp,116.92,112.953,10475,219,2380,0,118.62,114.509,10475,219,2379,0,117.37,113.307,10475,219,2384,0,116.39,112.158,10475,219,2380,0,116.26,112.301,10475,219,2380,0,115.2,111.437,10475,219,2382,0,115.2,111.437,10475,219,2379,0,116.655,112.627,10475,219,2380,0,118.62,114.509,10475,219,2384,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-17.lp,24.8,24.156,4678,159,528,0,24.01,23.357,4678,159,525,0,24.05,23.495,4678,159,524,0,24.09,23.424,4678,159,517,0,24.57,23.931,4678,159,514,0,23.91,23.281,4678,159,518,0,23.91,23.281,4678,159,514,0,24.07,23.4595,4678,159,521,0,24.8,24.156,4678,159,528,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-18.lp,900,900,0,0,8014,0,900,900,0,0,8105,0,900,900,0,0,8202,0,900,900,0,0,8112,0,900,900,0,0,8004,0,900,900,0,0,8183,0,900,900,0,0,8004,0,900,900,0,0,8108.5,0,900,900,0,0,8202,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-19.lp,900,900,1938331,1237437,7582,0,900,900,1932911,1233976,7583,0,900,900,1933067,1234067,7585,0,900,900,1935989,1236092,7585,0,900,900,1946384,1242434,7581,0,900,900,1878480,1195803,7583,0,900,900,1878480,1195803,7581,0,900,900,1934528,1235079.5,7583,0,900,900,1946384,1242434,7585,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-2.lp,5.94,5.711,787,59,140,0,5.82,5.574,787,59,142,0,5.79,5.586,787,59,138,0,5.99,5.769,787,59,137,0,5.79,5.568,787,59,137,0,5.76,5.529,787,59,139,0,5.76,5.529,787,59,137,0,5.805,5.58,787,59,138.5,0,5.99,5.769,787,59,142,0
