,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
gripper-round-1-strips/instances/instance-9.lp,900,900,6922163,5854191,50,0,900,900,12169099,8991799,72,0,900,900,10431805,7602768,93,0,900,900,10136373,7566621,80,0,900,900,10922745,8204941,71,0,900,900,10516866,8053077,64,0,900,900,10985291,8062586,73,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-1.lp,0.35,0.264,155,17,21,0,1.3,1.178,215,11,41,0,1.56,1.333,215,11,43,0,1.65,1.427,215,11,43,0,1.43,1.328,215,11,42,0,1.26,1.152,215,11,42,0,1.25,1.145,215,11,42,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-10.lp,337.42,327.769,557648,448978,1050,0,149.73,145.032,51069,1066,2878,0,193.32,188.484,154029,55934,2884,179,195.37,191.078,154029,55934,2880,179,189.57,185.185,154029,55934,2883,179,150.77,146.284,64205,1394,2883,114,151.35,147.026,21149,2779,2885,169,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-11.lp,1.48,1.176,5048,125,77,0,6.75,6.507,706,31,165,0,6.65,6.401,706,31,164,0,6.67,6.421,706,31,161,0,6.82,6.565,706,31,161,0,6.59,6.356,706,31,165,0,6.65,6.41,706,31,164,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-12.lp,80.53,54.921,8923,124,2580,0,401.9,392.091,7778,173,7550,0,463.22,453.893,7778,173,7549,0,407.12,397.589,7778,173,7551,0,417.24,408.036,7778,173,7553,0,398.34,388.785,7778,173,7549,0,391.07,381.98,7778,173,7549,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-13.lp,117.84,81.192,7882,122,3786,0,900,900,0,0,8164,0,900,900,0,0,8206,0,900,900,0,0,8052,0,900,900,0,0,8134,0,900,900,0,0,8110,0,900,900,0,0,8032,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-14.lp,26.66,20.161,20256,389,967,0,127.48,124.701,10768,257,2555,0,125.17,122.167,10768,257,2558,0,132.28,129.224,10768,257,2558,0,128.43,125.089,10768,257,2556,0,135.76,132.992,10768,257,2557,0,126.53,123.432,10768,257,2554,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-15.lp,2.58,1.988,6327,1400,105,0,9.02,8.709,7955,1264,225,0,9.13,8.666,5173,1017,227,17,8.93,8.504,5173,1017,227,17,9.07,8.726,5173,1017,225,17,9.22,8.852,5173,1017,225,17,9.33,8.958,5173,1017,226,17,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-16.lp,25.83,18.062,12759,260,924,0,119.99,115.602,10475,219,2382,0,121.82,117.128,10475,219,2381,0,116.48,112.449,10475,219,2379,0,118.96,114.777,10475,219,2379,0,117.45,113.345,10475,219,2380,0,131.79,127.772,10475,219,2382,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-17.lp,4.99,3.807,6824,270,200,0,24.52,23.867,4678,159,526,0,25.15,24.476,4678,159,525,0,26.02,25.246,4678,159,525,0,24.45,23.824,4678,159,518,0,24.37,23.796,4678,159,525,0,25.48,24.848,4678,159,527,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-19.lp,900,900,3693130,3421076,2601,0,900,900,1941842,1239455,7584,0,900,900,1982649,1268437,7581,0,900,900,1899869,1210833,7575,0,900,900,1936122,1236212,7581,0,900,900,1963512,1253600,7580,0,900,900,1997809,1278824,7575,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-2.lp,1.12,0.882,499,49,55,0,5.82,5.595,787,59,143,0,5.96,5.628,787,59,136,0,5.82,5.594,787,59,142,0,5.84,5.631,787,59,139,0,5.83,5.623,787,59,140,0,6.08,5.871,787,59,137,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-21.lp,139.84,93.884,21572,382,4176,0,900,900,0,0,8002,0,900,900,0,0,8003,0,900,900,0,0,8003,0,900,900,0,0,8001,0,900,900,0,0,8001,0,900,900,0,0,8002,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-23.lp,147.32,145.752,440342,367171,313,0,36,34.808,18402,1062,783,0,35.1,33.978,11493,881,787,253,35.97,34.705,11493,881,786,253,35.91,34.673,11605,958,786,231,35.38,34.185,23797,1046,785,120,35.5,34.343,23764,1398,786,218,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-24.lp,84.76,56.673,13253,204,2615,0,404.12,392.589,7694,202,7531,0,408.23,398.326,7694,202,7528,0,395.08,385.165,7694,202,7531,0,422.97,413.313,7694,202,7529,0,399.79,389.887,7694,202,7530,0,405.04,394.068,7694,202,7531,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-3.lp,4.32,3.239,1642,111,181,0,21.82,21.209,839,84,463,0,22.93,22.34,839,84,464,0,21.72,21.023,839,84,464,0,22.66,22.076,839,84,472,0,21.82,21.224,839,84,461,0,22.84,22.285,839,84,473,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-4.lp,7.68,5.812,2779,190,317,0,39.15,38.152,2816,152,825,0,39.84,38.869,2816,152,825,0,39.46,38.382,2816,152,827,0,38.36,37.46,2816,152,825,0,38.53,37.638,2816,152,826,0,38.37,37.436,2816,152,826,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-6.lp,12.1,9.073,5264,500,486,0,51.6,50.03,2990,195,1131,0,51.64,50.122,4196,448,1134,27,51.51,49.871,4196,448,1132,27,52.09,50.535,4196,448,1132,27,52.47,50.899,5714,777,1133,18,52.24,50.662,4196,448,1132,27,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-7.lp,2.9,2.254,2075,122,125,0,13.98,13.569,1157,84,307,0,13.94,13.532,1157,84,311,0,14.12,13.701,1157,84,305,0,14.12,13.697,1157,84,305,0,13.9,13.48,1157,84,304,0,13.72,13.339,1157,84,311,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-8.lp,13.42,10.071,3270,179,507,0,66.79,65.206,3997,292,1351,0,67.02,65.321,3997,292,1348,0,65.35,63.654,3997,292,1349,0,65.27,63.597,3997,292,1348,0,65.69,64.115,3997,292,1350,0,65.27,63.649,3997,292,1348,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
logistics-round-1-strips/instances/instance-9.lp,18.67,14.112,12982,2303,659,0,89.75,87.195,11428,1254,1801,0,90.04,87.32,11649,1235,1806,254,88.73,85.856,11649,1235,1808,254,89.34,86.832,6674,1162,1804,193,90.48,87.673,17696,1535,1803,144,89.49,86.551,12377,1280,1806,225,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-10.lp,900,900,0,0,8047,0,900,900,0,0,8055,0,900,900,0,0,8051,0,900,900,0,0,8051,0,900,900,0,0,8048,0,900,900,0,0,8055,0,900,900,0,0,8048,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-13.lp,900,900,0,0,8105,0,900,900,0,0,8181,0,900,900,0,0,8174,0,900,900,0,0,8065,0,900,900,0,0,8177,0,900,900,0,0,8032,0,900,900,0,0,8190,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-15.lp,900,900,0,0,8056,0,900,900,0,0,8091,0,900,900,0,0,8141,0,900,900,0,0,8050,0,900,900,0,0,8053,0,900,900,0,0,8069,0,900,900,0,0,8196,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-17.lp,900,900,0,0,8031,0,900,900,0,0,8192,0,900,900,0,0,8136,0,900,900,0,0,8058,0,900,900,0,0,8162,0,900,900,0,0,8148,0,900,900,0,0,8180,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-19.lp,61.25,47.231,775,207,1997,0,330.72,322.754,816,276,6499,0,336.65,328.626,1614,591,6502,17,339.34,331.486,1614,591,6497,17,336.58,328.422,1614,591,6503,17,340.84,332.731,2375,1097,6498,11,340.64,332.488,1614,591,6501,14,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-2.lp,21.06,16.855,214,75,727,0,122.95,121.006,611,194,2414,0,122.55,120.667,611,194,2414,0,123.7,121.54,611,194,2418,0,133.92,131.844,611,194,2418,0,121.7,119.392,611,194,2418,0,121.31,118.959,611,194,2417,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-20.lp,62.73,46.731,7548,1590,2084,0,354.29,346.462,3817,750,6610,0,340,332.884,32715,8590,6614,7,344.44,335.757,32715,8590,6615,7,355.09,347.609,32715,8590,6615,7,333.67,326.856,32715,8590,6612,7,350.11,342.206,32715,8590,6617,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-26.lp,4.56,3.66,160,51,193,0,30.2,29.505,3074,1241,615,0,29.44,28.698,549,216,613,4,28.49,27.805,549,216,614,4,29.33,28.613,549,216,614,4,28.56,27.85,703,298,614,3,28.74,27.993,549,216,607,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-27.lp,2.54,2.129,52,19,133,0,15.65,15.312,161,57,354,0,15.72,15.401,161,57,350,0,15.61,15.28,161,57,354,0,15.77,15.438,161,57,350,0,15.78,15.437,161,57,354,0,16.26,15.923,161,57,350,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-29.lp,3.96,3.316,36,16,165,0,26.5,25.98,26,2,534,0,25.46,24.928,26,2,539,0,25.05,24.53,26,2,536,0,25.89,25.367,26,2,535,0,25.5,24.977,26,2,540,0,25.02,24.489,26,2,535,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-3.lp,4.34,3.566,35,8,187,0,28.15,27.637,52,6,583,0,29.24,28.634,52,6,586,0,28.13,27.524,52,6,583,0,28.18,27.602,52,6,584,0,28.09,27.481,52,6,583,0,28.03,27.455,52,6,585,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-30.lp,23.42,18.859,553,219,932,0,136.23,132.987,495,73,2698,0,135.97,132.978,503,72,2704,10,139.89,136.863,503,72,2702,10,135.71,132.391,503,72,2699,10,137.15,134.221,503,72,2700,7,137.18,134.369,503,72,2703,10,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-6.lp,155.68,107.3,13318,5091,4504,0,900,900,0,0,8001,0,900,900,0,0,8004,0,900,900,0,0,8014,0,900,900,0,0,8005,0,900,900,0,0,8006,0,900,900,0,0,8003,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
mystery-round-1-strips/instances/instance-9.lp,9.04,7.325,122,41,353,0,56.58,55.634,264,65,1127,0,55.62,54.583,264,65,1130,0,56.77,55.797,264,65,1126,0,55.05,53.996,264,65,1125,0,55.54,54.515,264,65,1126,0,55.9,54.778,264,65,1126,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM,,,,,,,54326.36,54168.664,287980710,192850701,293013,0,50329.81,50166.328,253967877,158173316,293419,27934,49593.45,49418.372,242265628,149502374,293136,32778,49909.89,49761.317,262353673,162916856,292545,14792,50867.47,50709.355,271633001,168394165,292358,9116,49912.46,49748.885,264762660,163386990,292993,22571,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
AVG,,,,,,,399.458529411765,398.299,2117505.22058824,1418019.86029412,2154.50735294118,0,370.072132352941,368.870058823529,1867410.86029412,1163039.08823529,2157.49264705882,205.397058823529,364.657720588235,363.370382352941,1781364.91176471,1099282.16176471,2155.41176470588,241.014705882353,366.984485294118,365.892036764706,1929071.125,1197918.05882353,2151.06617647059,108.764705882353,374.025514705882,372.862904411765,1997301.47794118,1238192.38970588,2149.69117647059,67.0294117647059,367.003382352941,365.800625,1946784.26470588,1201374.92647059,2154.36029411765,165.963235294118,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
DEV,,,,,,,412.487746746008,413.004922050932,3983575.02197647,2831438.60083144,3113.56276336723,0,409.536745716983,410.064825792301,3755087.46456998,2526218.83001131,3105.87201328524,347.955430935072,407.928591223671,408.505331009851,3614953.0984828,2411523.0757965,3097.31594788871,459.924421895825,404.212152361566,404.636051063676,3851028.74257274,2597222.20002244,3106.7286026306,169.768218257374,412.03811619768,412.546182920506,3912534.9137499,2688046.14081803,3110.9790658836,107.516334068379,408.343362253659,408.839915456693,3959569.53737007,2660486.87182148,3110.70127540112,299.067449547899,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
DST,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,,,,,,,,,,,
BEST,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,
BETTER,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,
WORSE,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,
WORST,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,
