,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
depots-strips-automatic/instances/instance-11.lp,900,900,1161928,881294,352,0,780.43,779.096,2035746,1088880,766,0,52.82,51.105,177765,37222,724,594,168.18,166.853,600237,242954,726,393,133.3,132.063,1355475,189261,730,125,154.2,152.822,526716,218376,716,133,340.71,339.497,1035663,497469,743,221,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-12.lp,900,900,3074769,656989,977,0,900,900,16488430,800314,2253,0,900,900,16680765,820532,2265,0,900,900,16298902,798330,2262,0,900,900,16315831,800303,2265,0,900,900,14642336,810571,2247,0,900,900,16087789,814570,2243,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-13.lp,2.79,2.244,359,104,103,0,12.45,12.073,570,77,265,0,12.88,12.516,570,77,263,0,12,11.64,570,77,259,0,12.02,11.653,570,77,264,0,11.79,11.422,570,77,260,0,11.99,11.62,570,77,260,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-14.lp,10.53,8.323,4455,2292,331,0,41.52,40.277,566,80,848,0,41.17,39.862,4502,490,847,8,41.53,40.245,4502,490,845,8,41.15,40.035,4502,490,849,8,42.14,40.817,5906,1151,846,7,41.31,39.987,4502,490,847,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-15.lp,900,900,584526,417968,1186,0,900,900,6296674,629847,2589,0,900,900,7176539,594237,2590,0,900,900,7282912,607852,2588,0,900,900,7157386,592858,2588,0,900,900,7779820,594898,2600,0,900,900,7243718,605234,2620,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-16.lp,4.23,3.346,466,100,173,0,22.74,22.119,490,123,461,0,22.49,21.895,490,123,461,0,22.44,21.829,490,123,461,0,22,21.386,490,123,460,0,22.1,21.468,490,123,463,0,22.63,22.033,490,123,462,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-17.lp,13.94,11.156,274,32,526,0,72.26,70.313,5277,1112,1417,0,72.8,70.838,5277,1112,1418,0,70.84,69.192,5277,1112,1417,0,72.74,70.984,5277,1112,1417,0,72.35,70.393,5277,1112,1417,0,72.06,70.091,5277,1112,1418,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-18.lp,55.19,40.411,13500,4691,1805,0,235.79,229.391,117898,8862,4276,0,228,221.545,245999,6028,4279,11,219.96,213.411,245999,6028,4273,11,222.66,215.587,245999,6028,4281,11,221.5,214.775,244165,8248,4274,5,219.82,213.492,197614,5606,4277,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-19.lp,9.4,7.305,1192,273,350,0,45.96,44.786,912,149,913,0,46.03,44.845,912,149,914,0,44.97,43.755,912,149,915,0,45.65,44.514,912,149,914,0,45.24,44.101,912,149,914,0,45.58,44.389,912,149,918,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-20.lp,900,900,851426,650043,1848,0,333.35,326.626,2641011,114223,4418,0,583,577.099,7017421,384660,4481,5,592.56,587.019,7017421,384660,4484,5,582.89,577.272,7017421,384660,4489,5,580.52,573.35,7017421,384660,4484,5,594.56,588.636,7017421,384660,4488,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
