,empty-1/base,,,,,,empty-1/base-mod-enc,,,,,,empty-1/base-heur-mod-enc,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
RicochetRobots/084-ricochetrobot-15-0.asp,900,900,2737725,2192653,69,0,188.72,188.107,708777,473987,89,0,202.46,201.794,839965,546532,99,0,244.77,243.954,834998,583581,111,1000,121.47,120.642,517174,333417,100,1000,179.81,178.963,652190,443825,110,1183,48.91,47.923,224958,136407,105,1214,199.14,198.533,681888,459920,96,500,509.42,508.923,1721300,1209235,118,500,167.45,166.779,615163,414757,80,484,69.28,68.619,299835,181524,69,564,259.62,258.788,900151,629611,105,800,132.4,131.691,544975,354352,91,767,48.91,47.923,224958,136407,69,0,184.265,183.535,667039,451872.5,99.5,665.5,509.42,508.923,1721300,1209235,118,1214
RicochetRobots/097-ricochetrobot-17-0.asp,900,900,2852718,2285882,66,0,900,900,2535655,1838340,166,0,900,900,2537741,1810675,163,0,900,900,2377099,1766985,154,0,900,900,2557336,1852321,159,0,900,900,2359965,1768502,164,0,900,900,2527786,1850198,163,0,900,900,2347166,1735196,152,0,900,900,2472140,1781159,149,0,900,900,2387160,1759024,138,0,900,900,2541959,1853270,139,0,900,900,2292977,1705236,156,0,900,900,2487990,1813166,139,0,900,900,2292977,1705236,138,0,900,900,2480065,1795917,155,0,900,900,2557336,1853270,166,0
RicochetRobots/105-ricochetrobot-19-0.asp,900,900,2787343,2253552,63,0,900,900,2662901,1933464,151,0,900,900,2780731,1974477,150,0,900,900,2455940,1833179,154,0,900,900,2666965,1953198,146,0,900,900,2236135,1658640,155,0,900,900,2371117,1731311,144,0,900,900,2506184,1850995,136,0,900,900,2665626,1929230,139,0,900,900,2486508,1838112,152,0,900,900,2717462,1993640,137,0,900,900,2294319,1719774,150,0,900,900,2704697,1992773,153,0,900,900,2236135,1658640,136,0,900,900,2584542.5,1890112.5,150,0,900,900,2780731,1993640,155,0
RicochetRobots/120-ricochetrobot-22-0.asp,900,900,3037720,2493859,59,0,900,900,2662859,1953421,172,0,900,900,2776172,1994185,149,0,900,900,2514000,1890501,150,0,900,900,2417354,1767813,146,0,900,900,2245496,1675627,150,0,900,900,2465342,1813169,154,0,900,900,2542449,1880912,158,0,900,900,2776585,2013126,138,0,900,900,2478206,1839102,142,0,900,900,2699931,1981829,131,0,900,900,2465172,1857564,150,0,900,900,2692915,1989656,150,0,900,900,2245496,1675627,131,0,900,900,2528224.5,1885706.5,150,0,900,900,2776585,2013126,172,0
RicochetRobots/188-ricochetrobot-18-0.asp,900,900,2689368,2201453,63,0,900,900,2620960,1930767,176,0,900,900,2813678,2022816,149,0,900,900,2383180,1777186,147,0,900,900,2609531,1917890,158,0,900,900,2501286,1867756,167,0,900,900,2533987,1861533,154,0,900,900,2523589,1885222,162,0,900,900,2668733,1938220,136,0,900,900,2535757,1902581,133,0,900,900,2564831,1881920,135,0,900,900,2465086,1846682,156,0,900,900,2519597,1846546,145,0,900,900,2383180,1777186,133,0,900,900,2534872,1883571,151.5,0,900,900,2813678,2022816,176,0
RicochetRobots/214-ricochetrobot-22-0.asp,900,900,2845746,2310607,59,0,900,900,2571129,1868702,169,0,900,900,2819358,2000824,156,0,900,900,2418829,1809712,154,0,900,900,2633446,1935811,148,0,900,900,2474184,1843578,157,0,900,900,2632455,1928265,154,0,900,900,2505141,1874238,172,0,900,900,2603078,1896001,142,0,900,900,2500520,1855629,147,0,900,900,2701602,1978503,147,0,900,900,2513210,1871360,143,0,900,900,2572518,1870235,147,0,900,900,2418829,1809712,142,0,900,900,2571823.5,1872799,151,0,900,900,2819358,2000824,172,0
RicochetRobots/230-ricochetrobot-17-0.asp,900,900,2770653,2242084,65,0,900,900,2465956,1816143,158,0,900,900,2570839,1848049,161,0,900,900,2382416,1794391,154,0,900,900,2587303,1909141,133,0,900,900,2348785,1777419,170,0,900,900,2413656,1792697,155,0,900,900,2225838,1662189,156,0,900,900,2595858,1903237,145,0,900,900,2421953,1832716,133,0,900,900,2510522,1839458,129,0,900,900,2387268,1795918,145,0,900,900,2563049,1907912,133,0,900,900,2225838,1662189,129,0,900,900,2443954.5,1824429.5,149.5,0,900,900,2595858,1909141,170,0
Sokoban/0065-sokoban-120-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0096-sokoban-36-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0103-sokoban-110-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0119-sokoban-42-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0128-sokoban-131-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0140-sokoban-60-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0162-sokoban-31-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0207-sokoban-31-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0272-sokoban-135-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0395-sokoban-45-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0418-sokoban-36-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0428-sokoban-120-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0474-sokoban-56-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0516-sokoban-200-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0685-sokoban-105-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0760-sokoban-48-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0791-sokoban-270-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0809-sokoban-280-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,4,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,4,0
Sokoban/0950-sokoban-87-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Sokoban/0984-sokoban-165-1.asp,900,900,,,,,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,,,0,0,900,900,0,0,0,0,900,900,#VALUE!,#VALUE!,0,0,900,900,0,0,0,0
Visit-all/0009-visitall-36-1.asp,900,900,3848663,3270378,72,0,189.57,188.535,1246373,911261,69,0,226.12,224.895,1566223,1182560,77,0,900,900,58,50,1306,0,900,900,62,53,1309,0,900,900,58,50,1299,0,900,900,62,53,1312,0,900,900,58,50,1289,0,900,900,62,53,1253,0,900,900,58,50,1304,0,900,900,62,53,1321,0,900,900,58,50,1284,0,900,900,62,53,1318,0,189.57,188.535,58,50,69,0,900,900,62,53,1301.5,0,900,900,1566223,1182560,1321,0
Visit-all/0012-visitall-36-1.asp,900,900,3818340,3270674,64,0,900,900,4568856,3552390,97,0,900,900,4320283,3349734,95,0,900,900,92,82,1295,0,900,900,106,93,1266,0,900,900,92,82,1324,0,900,900,106,93,1268,0,900,900,92,82,1305,0,900,900,106,93,1361,0,900,900,92,82,1304,0,900,900,106,93,1317,0,900,900,92,82,1303,0,900,900,106,93,1327,0,900,900,92,82,95,0,900,900,106,93,1303.5,0,900,900,4568856,3552390,1361,0
Visit-all/0019-visitall-67-1.asp,900,900,3854028,3329764,67,0,900,900,4936743,3879470,121,0,900,900,4298352,3252246,113,0,900,900,59,57,1940,0,900,900,74,68,1938,0,900,900,59,57,1936,0,900,900,74,68,1953,0,900,900,59,57,1948,0,900,900,74,68,1987,0,900,900,59,57,1980,0,900,900,74,68,2007,0,900,900,59,57,1993,0,900,900,74,68,2016,0,900,900,59,57,113,0,900,900,74,68,1950.5,0,900,900,4936743,3879470,2016,0
Visit-all/0020-visitall-67-1.asp,900,900,3821694,3254957,71,0,900,900,3674579,2893531,121,0,900,900,3899322,3023404,111,0,900,900,70,67,1933,0,900,900,65,55,1941,0,900,900,70,67,1934,0,900,900,65,55,1958,0,900,900,70,67,1934,0,900,900,65,55,1982,0,900,900,70,67,1954,0,900,900,65,55,1973,0,900,900,70,67,1930,0,900,900,65,55,1937,0,900,900,65,55,111,0,900,900,70,67,1935.5,0,900,900,3899322,3023404,1982,0
Visit-all/0029-visitall-39-1.asp,900,900,3938266,3346021,69,0,167.3,165.99,1208720,907041,79,0,246.82,245.421,1559225,1154885,84,0,900,900,57,48,1287,0,900,900,69,59,1320,0,900,900,57,48,1283,0,900,900,69,59,1322,0,900,900,57,48,1307,0,900,900,69,59,1324,0,900,900,57,48,1299,0,900,900,69,59,1310,0,900,900,57,48,1282,0,900,900,69,59,1252,0,167.3,165.99,57,48,79,0,900,900,69,59,1293,0,900,900,1559225,1154885,1324,0
Visit-all/0030-visitall-39-1.asp,900,900,3667283,3123879,72,0,171.12,169.527,1149957,851319,81,0,181.18,179.859,1253986,929543,72,0,900,900,75,61,1290,0,900,900,78,68,1311,0,900,900,75,61,1286,0,900,900,78,68,1317,0,900,900,75,61,1302,0,900,900,78,68,1313,0,900,900,75,61,1308,0,900,900,78,68,1315,0,900,900,75,61,1290,0,900,900,78,68,1322,0,171.12,169.527,75,61,72,0,900,900,78,68,1305,0,900,900,1253986,929543,1322,0
Visit-all/0031-visitall-39-1.asp,900,900,3560085,3016313,74,0,141.03,140.057,1085460,788574,68,0,163.01,161.667,1179527,880752,79,0,900,900,95,84,1328,0,900,900,100,86,1280,0,900,900,95,84,1313,0,900,900,100,86,1339,0,900,900,95,84,1305,0,900,900,100,86,1324,0,900,900,95,84,1265,0,900,900,100,86,1336,0,900,900,95,84,1310,0,900,900,100,86,1278,0,141.03,140.057,95,84,68,0,900,900,100,86,1307.5,0,900,900,1179527,880752,1339,0
Visit-all/0037-visitall-73-1.asp,900,900,3605913,2967429,97,0,900,900,3509598,2750193,111,0,900,900,4115913,3160599,111,0,900,900,81,71,1985,0,900,900,77,71,1960,0,900,900,81,71,1998,0,900,900,77,71,1961,0,900,900,81,71,1944,0,900,900,77,71,1960,0,900,900,81,71,1960,0,900,900,77,71,1951,0,900,900,81,71,1935,0,900,900,77,71,1952,0,900,900,77,71,111,0,900,900,81,71,1956,0,900,900,4115913,3160599,1998,0
Visit-all/0040-visitall-73-1.asp,900,900,3726249,3149675,75,0,900,900,3147512,2425212,113,0,900,900,3534259,2727000,114,0,900,900,80,71,1958,0,900,900,67,56,1967,0,900,900,80,71,1998,0,900,900,67,56,1986,0,900,900,80,71,1964,0,900,900,67,56,1970,0,900,900,80,71,1964,0,900,900,67,56,1985,0,900,900,80,71,1967,0,900,900,67,56,1986,0,900,900,67,56,113,0,900,900,80,71,1967,0,900,900,3534259,2727000,1998,0
Visit-all/0057-visitall-79-1.asp,900,900,3615165,3056972,79,0,900,900,3962234,3043659,113,0,900,900,3711521,2844912,123,0,900,900,78,71,1947,0,900,900,76,68,1977,0,900,900,78,71,1962,0,900,900,76,68,1986,0,900,900,78,71,1990,0,900,900,76,68,1975,0,900,900,78,71,1989,0,900,900,76,68,1962,0,900,900,78,71,1988,0,900,900,76,68,1962,0,900,900,76,68,113,0,900,900,78,71,1968.5,0,900,900,3962234,3043659,1990,0
Visit-all/0059-visitall-79-1.asp,900,900,3888424,3308904,68,0,900,900,3286536,2556990,121,0,900,900,3965786,3159149,110,0,900,900,63,56,1957,0,900,900,74,64,1954,0,900,900,63,56,1956,0,900,900,74,64,1972,0,900,900,63,56,1948,0,900,900,74,64,1963,0,900,900,63,56,1976,0,900,900,74,64,1980,0,900,900,63,56,1958,0,900,900,74,64,2012,0,900,900,63,56,110,0,900,900,74,64,1957.5,0,900,900,3965786,3159149,2012,0
Visit-all/0060-visitall-79-1.asp,900,900,3309864,2733718,94,0,900,900,3590930,2805780,120,0,900,900,4057107,3118746,118,0,900,900,81,71,1959,0,900,900,77,71,1991,0,900,900,81,71,1946,0,900,900,77,71,1957,0,900,900,81,71,1954,0,900,900,77,71,1949,0,900,900,81,71,1952,0,900,900,77,71,1983,0,900,900,81,71,1977,0,900,900,77,71,1951,0,900,900,77,71,118,0,900,900,81,71,1953,0,900,900,4057107,3118746,1991,0
Visit-all/0070-visitall-49-1.asp,900,900,3705846,3148261,70,0,263.95,262.897,1615996,1192812,74,0,178.07,176.857,1231934,911674,71,0,900,900,74,69,1295,0,900,900,57,52,1309,0,900,900,74,69,1340,0,900,900,57,52,1314,0,900,900,74,69,1283,0,900,900,57,52,1307,0,900,900,74,69,1277,0,900,900,57,52,1294,0,900,900,74,69,1291,0,900,900,57,52,1323,0,178.07,176.857,57,52,71,0,900,900,74,69,1294.5,0,900,900,1615996,1192812,1340,0
Visit-all/0071-visitall-49-1.asp,900,900,3602533,3009178,74,0,835.63,834.42,3742550,2794593,101,0,628.43,627.197,3109485,2298277,96,0,900,900,64,60,1345,0,900,900,67,62,1331,0,900,900,64,60,1305,0,900,900,67,62,1302,0,900,900,64,60,1303,0,900,900,67,62,1322,0,900,900,64,60,1313,0,900,900,67,62,1318,0,900,900,64,60,1305,0,900,900,67,62,1268,0,628.43,627.197,64,60,96,0,900,900,67,62,1305,0,900,900,3742550,2794593,1345,0
Visit-all/0077-visitall-91-1.asp,900,900,3521233,2949309,88,0,900,900,3656638,2851819,111,0,900,900,4295768,3307991,119,0,900,900,1106,879,1965,0,900,900,93,75,1995,0,900,900,1106,879,1995,0,900,900,93,75,1974,0,900,900,1106,879,1986,0,900,900,93,75,1949,0,900,900,1509,1191,2027,0,900,900,93,75,1925,0,900,900,1106,879,1947,0,900,900,93,75,1931,0,900,900,93,75,111,0,900,900,1106,879,1957,0,900,900,4295768,3307991,2027,0
Visit-all/0078-visitall-91-1.asp,900,900,3558956,3030687,84,0,900,900,5078108,4150301,102,0,900,900,4849609,3862732,100,0,900,900,93,84,1949,0,900,900,85,76,1966,0,900,900,93,84,1978,0,900,900,85,76,1939,0,900,900,93,84,1985,0,900,900,85,76,1976,0,900,900,93,84,2013,0,900,900,85,76,1959,0,900,900,93,84,1981,0,900,900,85,76,1985,0,900,900,85,76,100,0,900,900,93,84,1971,0,900,900,5078108,4150301,2013,0
Visit-all/0080-visitall-91-1.asp,900,900,3173472,2684717,94,0,900,900,3621162,2814234,118,0,900,900,3732054,2899746,114,0,900,900,83,75,1957,0,900,900,64,62,2012,0,900,900,83,75,1955,0,900,900,64,62,1961,0,900,900,83,75,1971,0,900,900,64,62,1965,0,900,900,83,75,1963,0,900,900,64,62,1964,0,900,900,83,75,1949,0,900,900,64,62,1954,0,900,900,64,62,114,0,900,900,83,75,1959,0,900,900,3732054,2899746,2012,0
Visit-all/0089-visitall-66-1.asp,791.93,791.858,3289473,2769314,68,0,100.3,99.207,829986,602827,67,0,180.36,179.017,1408421,1051881,82,0,900,900,70,64,1256,0,900,900,97,80,1327,0,900,900,70,64,1318,0,900,900,97,80,1327,0,900,900,70,64,1306,0,900,900,97,80,1270,0,900,900,70,64,1304,0,900,900,97,80,1319,0,900,900,70,64,1255,0,900,900,97,80,1319,0,100.3,99.207,70,64,67,0,900,900,97,80,1305,0,900,900,1408421,1051881,1327,0
Visit-all/0099-visitall-122-1.asp,900,900,3698474,3177206,75,0,900,900,3348814,2591451,120,0,900,900,4239871,3302188,118,0,900,900,68,65,1949,0,900,900,98,90,1963,0,900,900,68,65,1955,0,900,900,98,90,2025,0,900,900,68,65,2010,0,900,900,98,90,1958,0,900,900,68,65,1937,0,900,900,98,90,1964,0,900,900,68,65,1949,0,900,900,98,90,1988,0,900,900,68,65,118,0,900,900,98,90,1956.5,0,900,900,4239871,3302188,2025,0
Visit-all/0100-visitall-122-1.asp,900,900,3287306,2728130,98,0,900,900,3368472,2606579,132,0,900,900,3767178,2895138,115,0,900,900,83,71,1948,0,900,900,79,72,1959,0,900,900,83,71,1984,0,900,900,79,72,1980,0,900,900,83,71,1954,0,900,900,79,72,1959,0,900,900,83,71,1961,0,900,900,79,72,1951,0,900,900,83,71,2084,0,900,900,79,72,1953,0,900,900,79,71,115,0,900,900,83,72,1956.5,0,900,900,3767178,2895138,2084,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM,,,,,,,74401.69,74368.516,441854995,187789987,14187,0,76071.67,76037.396,470153380,196803796,14027,0,78847.02,78813.723,357426106,130596778,46210,31138,79219.28,79187.833,380953564,135026329,46532,30330,78800.39,78767.335,361696750,129711058,46845,37745,80104.75,80072.942,397379503,137146574,46944,35721,78735.66,78716.09,365887061,133236358,45829,16000,80610.38,80593.103,397373331,145252411,46009,14500,78817.48,78789.274,357941117,131892225,45068,13494,80158.26,80129.888,390263410,144144873,45307,14048,77896.53,77860.18,361407136,129859933,45738,28601,79407.38,79376.666,383534707,134941234,45727,25155,70949.62,70909.48,320880673,111229749,12296,0,79280.835,79250.8995,#VALUE!,#VALUE!,45769,20495,83213.34,83192.056,518700287,215812956,48898,42772
AVG,,,,,,,620.014083333333,619.737633333333,4418549.95,1877899.87,118.225,0,633.930583333333,633.644966666667,4701533.8,1968037.96,116.891666666667,0,657.0585,656.781025,3574261.06,1305967.78,385.083333333333,259.483333333333,660.160666666667,659.898608333333,3809535.64,1350263.29,387.766666666667,252.75,656.669916666667,656.394458333334,3616967.5,1297110.58,390.375,314.541666666667,667.539583333333,667.274516666667,3973795.03,1371465.74,391.2,297.675,656.1305,655.967416666667,3658870.61,1332363.58,381.908333333333,133.333333333333,671.753166666667,671.609191666667,3973733.31,1452524.11,383.408333333333,120.833333333333,656.812333333333,656.577283333333,3579411.17,1318922.25,375.566666666667,112.45,667.9855,667.749066666667,3902634.1,1441448.73,377.558333333333,117.066666666667,649.13775,648.834833333333,3614071.36,1298599.33,381.15,238.341666666667,661.728166666667,661.472216666667,3835347.07,1349412.34,381.058333333333,209.625,591.246833333334,590.912333333333,2674005.60833333,926914.575,102.466666666667,0,660.673625,660.4241625,#VALUE!,#VALUE!,381.408333333333,170.791666666667,693.4445,693.267133333333,4322502.39166667,1798441.3,407.483333333333,356.433333333333
DEV,,,,,,,384.483195396118,384.811430565693,4712644.46186868,2083093.43406686,102.761980225334,0,374.188968892501,374.52049524075,4952559.66804382,2059194.3156496,100.174033086234,0,375.350934877878,375.720766710627,4820428.53582677,1929527.33312652,609.363651873075,434.378895585377,374.385919664788,374.755206453903,5181496.83028563,1950080.83924221,613.626850361516,431.169861632086,375.65132235991,376.042154342595,4774774.12481511,1878979.21258439,612.075859835427,556.384032415212,373.919273605647,374.310563542174,5227962.03602547,1987941.64552112,613.464313440926,548.956966100488,371.210191153953,371.437064993476,4819552.378368,1957392.50983051,614.958890418508,222.035402330248,368.905423417524,369.118722575023,5237795.84636608,2083140.11604389,615.698708046099,214.944133188502,376.694562302748,377.020034247857,4832580.56924097,1982571.22178234,619.004483134053,209.109189040503,369.498105993144,369.811919341491,5138238.65410958,2073791.92606865,619.008801010366,215.93458133742,381.804083935755,382.194036665907,4847472.9174827,1994920.21385687,615.377272406902,397.498237316177,374.527725614211,374.902042877717,5176809.66828965,1937390.42151386,615.554997178823,376.570840200188,400.724599918452,401.112747521577,4412101.09897088,1632401.46077898,91.240188452214,0,372.039615365414,372.367410459712,#VALUE!,#VALUE!,612.209039048753,298.815354184417,347.366269132223,347.639138403723,5023032.09997732,2137305.33030648,623.734833544697,584.475427139561
DST,,,,,,,1074.05044932722,1075.6689890101,#NUM!,#NUM!,287.508260750887,0,1407.13507883927,1408.58672914024,#NUM!,#NUM!,289.970688173822,0,2092.89711166125,2095.77858052729,#NUM!,#NUM!,7262.73984113434,5525.69543134618,2124.10336721168,2127.32543498615,#NUM!,#NUM!,7317.94014733654,5457.92029989446,2074.8536725032,2078.05952950078,#NUM!,#NUM!,7314.59205971188,6979.28327265773,2273.00255866552,2276.39556243593,#NUM!,#NUM!,7334.49466561944,6818.6761911679,1999.19815351055,2002.84163781763,#NUM!,#NUM!,7298.59705696924,2828.42712474619,2380.87839471066,2384.90298833747,#NUM!,#NUM!,7313.63541612514,2692.58240356725,2105.26104367131,2108.51947280456,#NUM!,#NUM!,7313.08402795975,2592.46446455877,2292.30379003307,2295.40115928959,#NUM!,#NUM!,7322.11738501917,2682.02423553554,1971.73817767471,1974.41229631858,#NUM!,#NUM!,7302.55133497876,5061.55973984305,2214.31275284229,2217.74759497018,#NUM!,#NUM!,7308.11336803145,4706.16436177063,,,,,,,,,,,,,,,,,,
BEST,,,,,,,82,82,8,5,33,120,77,77,4,7,42,120,78,77,28,31,23,88,76,76,14,14,24,89,76,75,25,27,21,89,76,76,17,17,23,91,76,76,18,20,31,88,77,76,16,15,24,91,78,77,21,25,50,89,76,77,16,16,48,89,78,79,27,27,27,87,76,75,16,16,25,90,,,,,,,,,,,,,,,,,,
