,empty-1/base,,,,,,empty-1/base-mod-enc,,,,,,empty-1/base-heur-mod-enc,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
HanoiTower/0060-hanoi_tower-120-0.asp,900,900,6766544,5705195,93,0,900,900,8366566,6677587,93,0,900,900,8342406,6689577,83,0,900,900,7140899,5856516,100,0,900,900,7341230,5944900,99,0,900,900,7167287,5862897,108,0,900,900,7397921,5973815,105,0,900,900,7643845,6240664,93,0,900,900,7787657,6276307,82,0,900,900,8357723,6662790,75,0,900,900,8434185,6670783,74,0,900,900,7518609,6084398,93,0,900,900,7641793,6084338,82,0,900,900,7140899,5856516,74,0,900,900,7642819,6162531,93,0,900,900,8434185,6689577,108,0
Labyrinth/0025-labyrinth-14-0.asp,0.74,0.679,3346,2357,22,0,3.23,3.007,27022,8235,49,0,0.79,0.701,3764,739,45,0,3.14,3.027,27022,8235,49,0,0.94,0.846,3764,739,45,0,3.09,3.009,27022,8235,47,0,0.85,0.742,3764,739,45,0,2.98,2.88,27022,8235,48,0,0.86,0.764,3764,739,45,0,3.24,3.024,27022,8235,49,0,0.85,0.743,3764,739,45,0,3.13,3.031,27022,8235,48,0,0.82,0.705,3764,739,45,0,0.79,0.701,3764,739,45,0,1.96,1.863,15393,4487,46,0,3.24,3.031,27022,8235,49,0
Labyrinth/0045-labyrinth-11-0.asp,15.3,15.249,83388,63384,22,0,0.7,0.599,1916,427,35,0,11.34,11.24,159986,44772,45,0,0.7,0.593,1916,427,35,0,11.3,11.205,159986,44772,45,0,0.77,0.67,1916,427,35,0,11.63,11.535,159986,44772,45,0,0.7,0.597,1916,427,35,0,11.47,11.355,159986,44772,45,0,0.69,0.594,1916,427,35,0,11.51,11.406,159986,44772,45,0,0.74,0.589,1916,427,35,0,11.59,11.497,159986,44772,45,0,0.69,0.589,1916,427,35,0,6.035,5.9375,80951,22599.5,40,0,11.63,11.535,159986,44772,45,0
Labyrinth/0060-labyrinth-13-0.asp,1.36,1.294,6900,4837,21,0,2.05,1.95,17906,5298,44,0,2.65,2.553,28521,7601,44,0,1.96,1.848,17906,5298,44,0,2.65,2.556,28521,7601,45,0,1.96,1.857,17906,5298,44,0,2.64,2.531,28521,7601,44,0,1.97,1.834,17906,5298,44,0,2.6,2.486,28521,7601,44,0,2.02,1.913,17906,5298,44,0,2.95,2.842,28521,7601,45,0,2.08,1.955,17906,5298,41,0,2.69,2.581,28521,7601,45,0,1.96,1.834,17906,5298,41,0,2.34,2.2205,23213.5,6449.5,44,0,2.95,2.842,28521,7601,45,0
Labyrinth/0075-labyrinth-13-0.asp,149.75,149.675,502769,400909,40,0,2.76,2.657,25826,6863,46,0,2.44,2.353,29148,6782,46,0,2.77,2.679,25826,6863,47,0,2.46,2.366,29148,6782,46,0,2.6,2.51,25826,6863,46,0,2.43,2.329,29148,6782,45,0,2.55,2.453,25826,6863,47,0,2.46,2.33,29148,6782,46,0,2.83,2.723,25826,6863,47,0,2.54,2.43,29148,6782,46,0,2.88,2.747,25826,6863,46,0,2.43,2.332,29148,6782,46,0,2.43,2.329,25826,6782,45,0,2.545,2.4415,27487,6822.5,46,0,2.88,2.747,29148,6863,47,0
Labyrinth/0082-labyrinth-14-0.asp,162.41,162.339,545608,447719,45,0,173.51,173.402,2182417,339185,128,0,395.03,394.916,5423712,727867,188,0,174.02,173.911,2182417,339185,127,0,408.77,408.668,5423712,727867,188,0,174.5,174.396,2182417,339185,127,0,389.49,389.393,5423712,727867,188,0,169.35,169.249,2182417,339185,127,0,387.26,387.157,5423712,727867,195,0,184.22,184.092,2182417,339185,127,0,396.85,396.736,5423712,727867,188,0,187.27,187.153,2182417,339185,127,0,395.82,395.707,5423712,727867,189,0,169.35,169.249,2182417,339185,127,0,287.265,287.155,3803064.5,533526,158,0,408.77,408.668,5423712,727867,195,0
Labyrinth/0083-labyrinth-23-0.asp,900,900,1299222,1074646,88,0,900,900,15986670,655116,396,0,900,900,18755069,706544,342,0,900,900,15540459,642031,390,0,900,900,18440574,681246,344,0,900,900,15468793,636728,395,0,900,900,18716843,698153,345,0,900,900,15463432,635747,389,0,900,900,18692838,695447,344,0,900,900,15660124,645565,389,0,900,900,18741305,702523,344,0,900,900,15479504,638305,390,0,900,900,18536848,685802,344,0,900,900,15463432,635747,342,0,900,900,17213622,668181,367,0,900,900,18755069,706544,396,0
Labyrinth/0094-labyrinth-17-0.asp,35.54,35.478,104974,79066,35,0,177.94,177.829,1628476,261692,166,0,121.94,121.845,948510,206466,130,0,174.51,174.378,1628476,261692,165,0,128.2,128.095,948510,206466,130,0,190.27,190.162,1628476,261692,164,0,127.13,127.016,948510,206466,123,0,182.96,182.853,1628476,261692,166,0,130.96,130.828,948510,206466,128,0,187.31,187.184,1628476,261692,164,0,119.25,119.141,948510,206466,131,0,175.3,175.179,1628476,261692,159,0,123.23,123.113,948510,206466,130,0,119.25,119.141,948510,206466,123,0,152.735,152.603,1288493,234079,145,0,190.27,190.162,1628476,261692,166,0
Labyrinth/0117-labyrinth-23-0.asp,900,900,1295320,1080720,80,0,900,900,13185248,701967,416,0,900,900,16038354,687575,383,0,900,900,13007865,697192,417,0,900,900,16105739,692333,391,0,900,900,13017228,697530,414,0,900,900,15952110,681482,385,0,900,900,13157550,700284,416,0,900,900,16214231,698349,385,0,900,900,12915244,693738,417,0,900,900,16063990,690328,393,0,900,900,12803178,686772,386,0,900,900,16025514,686611,389,0,900,900,12803178,681482,383,0,900,900,14568679,693035.5,392,0,900,900,16214231,701967,417,0
Labyrinth/0130-labyrinth-14-0.asp,419.32,419.24,1170219,979262,51,0,900,900,9248223,1378944,220,0,900,900,9500601,1358757,221,0,900,900,9227559,1376540,221,0,900,900,9531533,1362080,221,0,900,900,9126492,1343793,206,0,900,900,9593833,1374609,227,0,900,900,9184752,1360972,205,0,900,900,9550939,1365388,227,0,900,900,9106660,1339865,206,0,900,900,9766298,1397921,221,0,900,900,9134578,1346312,207,0,900,900,9579447,1372736,221,0,900,900,9106660,1339865,205,0,900,900,9374412,1363734,221,0,900,900,9766298,1397921,227,0
