scalings,0,500,1000,1500
elevator-strips-simple-typed/instance-52.lp,156,93,93,93
elevator-strips-simple-typed/instance-53.lp,148,65,65,65
elevator-strips-simple-typed/instance-54.lp,162,49,49,49
elevator-strips-simple-typed/instance-55.lp,161,102,102,102
elevator-strips-simple-typed/instance-56.lp,232,65,65,65
elevator-strips-simple-typed/instance-57.lp,199,3,3,3
elevator-strips-simple-typed/instance-58.lp,200,54,54,54
elevator-strips-simple-typed/instance-59.lp,221,49,49,49
freecell-strips-typed/instance-1.lp,0,0,0,0
freecell-strips-typed/instance-10.lp,0,0,0,0
freecell-strips-typed/instance-11.lp,0,0,0,0
freecell-strips-typed/instance-12.lp,0,0,0,0
freecell-strips-typed/instance-13.lp,0,0,0,0
freecell-strips-typed/instance-14.lp,0,0,0,0
