scalings,0,500,1000,1500
driverlog-strips-automatic/instance-15.lp,1,1,1,1
driverlog-strips-automatic/instance-17.lp,1,1,1,1
driverlog-strips-automatic/instance-18.lp,1,1,1,1
driverlog-strips-automatic/instance-7.lp,16,1,1,1
driverlog-strips-automatic/instance-9.lp,1,1,1,1
elevator-strips-simple-typed/instance-38.lp,4,1,1,1
elevator-strips-simple-typed/instance-40.lp,4,1,1,1
elevator-strips-simple-typed/instance-42.lp,4,1,1,1
elevator-strips-simple-typed/instance-43.lp,4,1,1,1
elevator-strips-simple-typed/instance-44.lp,4,1,1,1
elevator-strips-simple-typed/instance-45.lp,4,1,1,1
elevator-strips-simple-typed/instance-46.lp,4,1,1,1
elevator-strips-simple-typed/instance-47.lp,4,1,1,1
elevator-strips-simple-typed/instance-48.lp,4,1,1,1
elevator-strips-simple-typed/instance-49.lp,4,1,1,1
elevator-strips-simple-typed/instance-50.lp,5,1,1,1
elevator-strips-simple-typed/instance-51.lp,4,1,1,1
elevator-strips-simple-typed/instance-52.lp,4,1,1,1
elevator-strips-simple-typed/instance-53.lp,4,1,1,1
elevator-strips-simple-typed/instance-54.lp,4,1,1,1
elevator-strips-simple-typed/instance-55.lp,4,1,1,1
elevator-strips-simple-typed/instance-56.lp,4,1,1,1
elevator-strips-simple-typed/instance-57.lp,4,1,1,1
elevator-strips-simple-typed/instance-58.lp,4,1,1,1
elevator-strips-simple-typed/instance-59.lp,3,1,1,1
freecell-strips-typed/instance-1.lp,0,0,0,0
freecell-strips-typed/instance-10.lp,0,0,0,0
freecell-strips-typed/instance-11.lp,0,0,0,0
freecell-strips-typed/instance-12.lp,0,0,0,0
freecell-strips-typed/instance-13.lp,0,0,0,0
freecell-strips-typed/instance-14.lp,0,0,0,0
freecell-strips-typed/instance-15.lp,0,0,0,0
freecell-strips-typed/instance-19.lp,0,0,0,0
freecell-strips-typed/instance-2.lp,0,0,0,0
freecell-strips-typed/instance-3.lp,0,0,0,0
freecell-strips-typed/instance-4.lp,0,0,0,0
freecell-strips-typed/instance-5.lp,0,0,0,0
freecell-strips-typed/instance-6.lp,0,0,0,0
freecell-strips-typed/instance-7.lp,0,0,0,0
freecell-strips-typed/instance-8.lp,0,0,0,0
freecell-strips-typed/instance-9.lp,0,0,0,0
grid-round-2-strips/instance-1.lp,1,1,1,1
grid-round-2-strips/instance-2.lp,1,1,1,1
gripper-round-1-strips/instance-10.lp,60,16,16,16
gripper-round-1-strips/instance-11.lp,21,17,17,17
gripper-round-1-strips/instance-12.lp,33,28,28,28
gripper-round-1-strips/instance-13.lp,26,30,30,30
gripper-round-1-strips/instance-14.lp,23,16,16,16
gripper-round-1-strips/instance-15.lp,37,34,34,34
gripper-round-1-strips/instance-16.lp,38,30,30,30
gripper-round-1-strips/instance-17.lp,44,21,21,21
gripper-round-1-strips/instance-18.lp,33,31,31,31
gripper-round-1-strips/instance-19.lp,21,14,14,14
gripper-round-1-strips/instance-20.lp,21,14,14,14
gripper-round-1-strips/instance-4.lp,31,11,11,11
gripper-round-1-strips/instance-5.lp,26,12,12,12
gripper-round-1-strips/instance-6.lp,30,35,35,35
gripper-round-1-strips/instance-7.lp,33,18,18,18
gripper-round-1-strips/instance-8.lp,32,21,21,21
gripper-round-1-strips/instance-9.lp,33,12,12,12
logistics-round-1-strips/instance-1.lp,1,1,1,1
logistics-round-1-strips/instance-10.lp,1,1,1,1
logistics-round-1-strips/instance-11.lp,1,1,1,1
logistics-round-1-strips/instance-12.lp,1,1,1,1
logistics-round-1-strips/instance-13.lp,0,0,0,0
logistics-round-1-strips/instance-14.lp,1,1,1,1
logistics-round-1-strips/instance-15.lp,1,1,1,1
logistics-round-1-strips/instance-16.lp,1,1,1,1
logistics-round-1-strips/instance-17.lp,1,1,1,1
logistics-round-1-strips/instance-19.lp,1,1,1,1
logistics-round-1-strips/instance-2.lp,1,1,1,1
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,1,1,1,1
logistics-round-1-strips/instance-24.lp,1,1,1,1
logistics-round-1-strips/instance-3.lp,1,1,1,1
logistics-round-1-strips/instance-4.lp,1,1,1,1
logistics-round-1-strips/instance-6.lp,1,1,1,1
logistics-round-1-strips/instance-7.lp,1,1,1,1
logistics-round-1-strips/instance-8.lp,1,1,1,1
logistics-round-1-strips/instance-9.lp,1,1,1,1
mystery-round-1-strips/instance-10.lp,0,0,0,0
mystery-round-1-strips/instance-13.lp,0,0,0,0
mystery-round-1-strips/instance-15.lp,0,0,0,0
mystery-round-1-strips/instance-17.lp,0,0,0,0
mystery-round-1-strips/instance-19.lp,79,30,30,30
mystery-round-1-strips/instance-2.lp,152,79,79,79
mystery-round-1-strips/instance-20.lp,84,30,30,30
mystery-round-1-strips/instance-26.lp,37,13,13,13
mystery-round-1-strips/instance-27.lp,27,25,25,25
mystery-round-1-strips/instance-29.lp,5,5,5,5
mystery-round-1-strips/instance-3.lp,40,19,19,19
mystery-round-1-strips/instance-30.lp,64,35,35,35
mystery-round-1-strips/instance-6.lp,0,0,0,0
mystery-round-1-strips/instance-9.lp,119,35,35,35
learning-hor-hor-lbd-40
blocks-strips-typed/instance-22.lp,592,134,134,134
blocks-strips-typed/instance-24.lp,86,205,205,205
blocks-strips-typed/instance-25.lp,1054,762,762,762
blocks-strips-typed/instance-26.lp,261,196,196,196
